 radius= 1.0000E+01 lambda= 5.3200E-01 x= 1.1810E+02

Qext= 2.0959E+00 Qsca= 2.0959E+00 Qabs= 0.0000E+00 <cos>= 8.2795E-01
                 Qbk = 5.1624E-03
  theta       S11           POL           S33           S34
 102.57   2.98075E+02   3.44523E-01  -1.70570E+02  -2.21831E+02
 103.07   5.69151E+02   9.06989E-01  -1.01652E+02  -2.17080E+02
 103.58   4.74790E+02   8.12741E-01  -2.59119E+02   9.68422E+01
 104.08   2.24561E+02  -1.08741E-01  -2.21943E+02  -2.39311E+01
 104.58   2.71439E+02   4.93727E-01  -9.45382E+01  -2.16289E+02
 105.08   3.27467E+02   8.96241E-01  -1.44826E+02  -1.11415E+01
 105.59   1.93512E+02   2.63886E-01  -1.44557E+02   1.18080E+02
 106.09   8.58398E+01  -7.42775E-01  -5.26333E+01  -2.30849E+01
 106.59   9.91326E+01   6.50766E-01  -3.31847E+01  -6.75591E+01
 107.09   1.47981E+02   9.10573E-01  -4.14332E+01   4.49976E+01
 107.60   1.26254E+02   4.94204E-01  -4.04709E+01   1.02025E+02
 108.10   5.26487E+01  -4.77611E-01  -4.23900E+01   1.85116E+01
 108.60   1.01488E+02   6.76046E-01  -4.11566E+01  -6.24380E+01
 109.11   2.35793E+02   9.16875E-01  -9.05812E+01   2.55753E+01
 109.61   2.16463E+02   5.44916E-01  -1.47356E+02   1.05967E+02
 110.11   1.20583E+02  -5.89015E-02  -1.19664E+02  -1.30472E+01
 110.61   1.78787E+02   7.01244E-01  -9.86483E+01  -8.07146E+01
 111.12   2.63957E+02   8.05825E-01  -1.49581E+02   4.53466E+01
 111.62   1.92107E+02   3.46903E-01  -1.60553E+02   8.17725E+01
 112.12   1.12504E+02   2.36081E-02  -1.06779E+02  -3.53315E+01
 112.63   1.58970E+02   7.44147E-01  -9.24991E+01  -5.21645E+01
 113.13   2.00005E+02   7.47941E-01  -1.25088E+02   4.44676E+01
 113.63   1.40147E+02   2.94496E-01  -1.21170E+02   5.70584E+01
 114.13   7.99213E+01  -4.26169E-02  -7.64940E+01  -2.29017E+01
 114.64   1.09473E+02   6.86645E-01  -6.95119E+01  -3.87554E+01
 115.14   1.67391E+02   6.85004E-01  -1.16670E+02   3.54970E+01
 115.64   1.57753E+02   2.80540E-01  -1.41151E+02   5.48071E+01
 116.15   1.14898E+02   9.60811E-02  -1.13247E+02  -1.59608E+01
 116.65   1.33317E+02   6.16940E-01  -1.00611E+02  -2.97686E+01
 117.15   1.80025E+02   6.34128E-01  -1.33808E+02   3.83684E+01
 117.65   1.63190E+02   3.16598E-01  -1.48328E+02   4.42786E+01
 118.16   1.17578E+02   2.31120E-01  -1.12699E+02  -1.96208E+01
 118.66   1.24654E+02   6.36551E-01  -9.30083E+01  -2.43286E+01
 119.16   1.57587E+02   5.83363E-01  -1.25462E+02   2.53290E+01
 119.66   1.53176E+02   2.59748E-01  -1.46434E+02   2.09015E+01
 120.17   1.23555E+02   1.91949E-01  -1.18157E+02  -2.72458E+01
 120.67   1.14264E+02   5.19768E-01  -9.45570E+01  -2.42475E+01
 121.17   1.26730E+02   4.71503E-01  -1.09613E+02   2.17932E+01
 121.68   1.28220E+02   1.44591E-01  -1.24677E+02   2.35004E+01
 122.18   1.15168E+02   1.47659E-01  -1.12838E+02  -1.55634E+01
 122.68   1.18688E+02   5.03462E-01  -1.01896E+02  -1.15496E+01
 123.18   1.40136E+02   4.78799E-01  -1.18267E+02   3.38946E+01
 123.69   1.46942E+02   2.04484E-01  -1.39997E+02   3.30164E+01
 124.19   1.39697E+02   2.11892E-01  -1.35566E+02  -1.61511E+01
 124.69   1.45034E+02   5.27711E-01  -1.21443E+02  -2.06996E+01
 125.20   1.51767E+02   5.36943E-01  -1.25690E+02   2.43869E+01
 125.70   1.35739E+02   2.22321E-01  -1.29846E+02   2.55811E+01
 126.20   1.18469E+02   1.33665E-01  -1.15061E+02  -2.33467E+01
