 radius= 1.0000E+00 lambda= 5.3200E-01 x= 1.1810E+01

Qext= 2.8352E+00 Qsca= 2.8352E+00 Qabs= 0.0000E+00 <cos>= 8.1030E-01
                 Qbk = 1.7245E-02
  theta       S11           POL           S33           S34
 104.58   3.37246E+00  -4.46288E-01   3.01714E+00   7.08521E-02
 105.08   2.70461E+00  -4.11238E-01   2.46532E+00  -7.48128E-03
 105.59   2.15520E+00  -3.73310E-01   1.99898E+00  -4.04403E-02
 106.09   1.74651E+00  -3.35589E-01   1.64463E+00  -4.42981E-02
 106.59   1.49358E+00  -3.03438E-01   1.42273E+00  -3.49900E-02
 107.09   1.40338E+00  -2.81529E-01   1.34635E+00  -2.69580E-02
 107.60   1.47450E+00  -2.67913E-01   1.42023E+00  -3.21880E-02
 108.10   1.69730E+00  -2.54438E-01   1.64036E+00  -5.94922E-02
 108.60   2.05451E+00  -2.34426E-01   1.99400E+00  -1.14054E-01
 109.11   2.52232E+00  -2.06005E-01   2.46033E+00  -1.97270E-01
 109.61   3.07175E+00  -1.69978E-01   3.01146E+00  -3.06864E-01
 110.11   3.67035E+00  -1.27622E-01   3.61398E+00  -4.37267E-01
 110.61   4.28405E+00  -7.98754E-02   4.23076E+00  -5.80215E-01
 111.12   4.87910E+00  -2.72522E-02   4.82303E+00  -7.25518E-01
 111.62   5.42393E+00   3.00626E-02   5.35252E+00  -8.61935E-01
 112.12   5.89084E+00   9.20993E-02   5.78367E+00  -9.78115E-01
 112.63   6.25750E+00   1.59013E-01   6.08566E+00  -1.06349E+00
 113.13   6.50804E+00   2.31007E-01   6.23411E+00  -1.10914E+00
 113.63   6.63374E+00   3.08256E-01   6.21260E+00  -1.10844E+00
 114.13   6.63335E+00   3.90797E-01   6.01354E+00  -1.05764E+00
 114.64   6.51285E+00   4.78387E-01   5.63876E+00  -9.56179E-01
 115.14   6.28493E+00   5.70270E-01   5.09938E+00  -8.06756E-01
 115.64   5.96793E+00   6.64836E-01   4.41532E+00  -6.15243E-01
 116.15   5.58456E+00   7.59127E-01   3.61421E+00  -3.90342E-01
 116.65   5.16036E+00   8.48156E-01   2.72993E+00  -1.43082E-01
 117.15   4.72200E+00   9.24110E-01   1.80080E+00   1.13834E-01
 117.65   4.29559E+00   9.75667E-01   8.67489E-01   3.66783E-01
 118.16   3.90506E+00   9.88017E-01  -2.91596E-02   6.02016E-01
 118.66   3.57067E+00   9.44605E-01  -8.50318E-01   8.06451E-01
 119.16   3.30789E+00   8.31582E-01  -1.56126E+00   9.68410E-01
 119.66   3.12652E+00   6.44631E-01  -2.13318E+00   1.07825E+00
 120.17   3.03025E+00   3.94949E-01  -2.54475E+00   1.12888E+00
 120.67   3.01664E+00   1.09289E-01  -2.78314E+00   1.11605E+00
 121.17   3.07750E+00  -1.78024E-01  -2.84469E+00   1.03855E+00
 121.68   3.19967E+00  -4.36531E-01  -2.73501E+00   8.98168E-01
 122.18   3.36610E+00  -6.47308E-01  -2.46856E+00   6.99460E-01
 122.68   3.55724E+00  -8.03822E-01  -2.06782E+00   4.49425E-01
 123.18   3.75254E+00  -9.08288E-01  -1.56199E+00   1.57021E-01
 123.69   3.93206E+00  -9.67158E-01  -9.85317E-01  -1.67398E-01
 124.19   4.07801E+00  -9.87789E-01  -3.75256E-01  -5.12682E-01
 124.69   4.17615E+00  -9.76641E-01   2.29599E-01  -8.67486E-01
 125.20   4.21695E+00  -9.38591E-01   7.91552E-01  -1.22082E+00
 125.70   4.19641E+00  -8.76886E-01   1.27578E+00  -1.56253E+00
 126.20   4.11651E+00  -7.93437E-01   1.65210E+00  -1.88367E+00
 126.70   3.98522E+00  -6.89355E-01   1.89647E+00  -2.17672E+00
 127.21   3.81610E+00  -5.65780E-01   1.99204E+00  -2.43573E+00
 127.71   3.62745E+00  -4.25133E-01   1.92990E+00  -2.65624E+00
 128.21   3.44114E+00  -2.72860E-01   1.70930E+00  -2.83515E+00
 128.72   3.28111E+00  -1.19379E-01   1.33740E+00  -2.97046E+00
 129.22   3.17170E+00   1.89304E-02   8.28641E-01  -3.06095E+00
 129.72   3.13584E+00   1.21694E-01   2.03719E-01  -3.10586E+00
 130.22   3.19329E+00   1.70765E-01  -5.11762E-01  -3.10449E+00
 130.73   3.35907E+00   1.58388E-01  -1.28885E+00  -3.05600E+00
 131.23   3.64203E+00   9.13323E-02  -2.09693E+00  -2.95916E+00
 131.73   4.04387E+00  -1.27265E-02  -2.90541E+00  -2.81227E+00
 132.23   4.55858E+00  -1.33378E-01  -3.68536E+00  -2.61326E+00
 132.74   5.17232E+00  -2.54115E-01  -4.41094E+00  -2.35985E+00
 133.24   5.86384E+00  -3.64682E-01  -5.06058E+00  -2.04993E+00
 133.74   6.60547E+00  -4.60260E-01  -5.61782E+00  -1.68203E+00
 134.25   7.36443E+00  -5.39590E-01  -6.07180E+00  -1.25585E+00
 134.75   8.10470E+00  -6.03283E-01  -6.41734E+00  -7.72947E-01
 135.25   8.78910E+00  -6.52680E-01  -6.65470E+00  -2.37280E-01
 135.75   9.38156E+00  -6.89200E-01  -6.78889E+00   3.44154E-01
 136.26   9.84942E+00  -7.13994E-01  -6.82882E+00   9.60903E-01
 136.76   1.01657E+01  -7.27769E-01  -6.78611E+00   1.59875E+00
 137.26   1.03112E+01  -7.30684E-01  -6.67383E+00   2.23962E+00
 137.77   1.02757E+01  -7.22258E-01  -6.50523E+00   2.86182E+00
 138.27   1.00596E+01  -7.01258E-01  -6.29244E+00   3.44041E+00
 138.77   9.67417E+00  -6.65546E-01  -6.04541E+00   3.94804E+00
 139.27   9.14150E+00  -6.11889E-01  -5.77104E+00   4.35591E+00
 139.78   8.49372E+00  -5.35780E-01  -5.47264E+00   4.63508E+00
 140.28   7.77161E+00  -4.31399E-01  -5.14970E+00   4.75796E+00
 140.78   7.02259E+00  -2.92073E-01  -4.79803E+00   4.69986E+00
 141.28   6.29826E+00  -1.11930E-01  -4.41032E+00   4.44074E+00
 141.79   5.65144E+00   1.10160E-01  -3.97698E+00   3.96671E+00
 142.29   5.13316E+00   3.63682E-01  -3.48726E+00   3.27159E+00
 142.79   4.78952E+00   6.19038E-01  -2.93061E+00   2.35806E+00
 143.30   4.65867E+00   8.28235E-01  -2.29811E+00   1.23859E+00
 143.80   4.76817E+00   9.43116E-01  -1.58394E+00  -6.41814E-02
 144.30   5.13283E+00   9.42925E-01  -7.86754E-01  -1.51743E+00
 144.80   5.75320E+00   8.44618E-01   8.92055E-02  -3.07880E+00
 145.31   6.61479E+00   6.86500E-01   1.03324E+00  -4.69752E+00
 145.81   7.68822E+00   5.05484E-01   2.02775E+00  -6.31616E+00
 146.31   8.93018E+00   3.26001E-01   3.04822E+00  -7.87280E+00
 146.82   1.02853E+01   1.60159E-01   4.06372E+00  -9.30374E+00
 147.32   1.16888E+01   1.19405E-02   5.03788E+00  -1.05465E+01
 147.82   1.30699E+01  -1.18938E-01   5.93031E+00  -1.15428E+01
 148.32   1.43558E+01  -2.34587E-01   6.69847E+00  -1.22425E+01
 148.83   1.54758E+01  -3.37662E-01   7.29984E+00  -1.26058E+01
 149.33   1.63658E+01  -4.30769E-01   7.69435E+00  -1.26070E+01
 149.83   1.69726E+01  -5.16218E-01   7.84687E+00  -1.22365E+01
 150.34   1.72578E+01  -5.95928E-01   7.72962E+00  -1.15029E+01
 150.84   1.72013E+01  -6.71368E-01   7.32447E+00  -1.04341E+01
 151.34   1.68036E+01  -7.43447E-01   6.62487E+00  -9.07784E+00
 151.84   1.60877E+01  -8.12299E-01   5.63725E+00  -7.50085E+00
 152.35   1.50996E+01  -8.76850E-01   4.38198E+00  -5.78761E+00
 152.85   1.39072E+01  -9.34029E-01   2.89355E+00  -4.03790E+00
 153.35   1.25990E+01  -9.77460E-01   1.22011E+00  -2.36358E+00
 153.85   1.12804E+01  -9.95604E-01  -5.77736E-01  -8.84543E-01
 154.36   1.00701E+01  -9.70090E-01  -2.42885E+00   2.75909E-01
 154.86   9.09476E+00  -8.77048E-01  -4.25409E+00   9.96104E-01
 155.36   8.48340E+00  -6.97224E-01  -5.96944E+00   1.16134E+00
 155.87   8.36109E+00  -4.37298E-01  -7.48943E+00   6.69160E-01
 156.37   8.84275E+00  -1.44991E-01  -8.73101E+00  -5.65553E-01
 156.87   1.00269E+01   1.11793E-01  -9.61727E+00  -2.60599E+00
 157.37   1.19902E+01   2.88900E-01  -1.00813E+01  -5.48950E+00
 157.88   1.47822E+01   3.82843E-01  -1.00693E+01  -9.22464E+00
 158.38   1.84215E+01   4.13845E-01  -9.54420E+00  -1.37892E+01
 158.88   2.28936E+01   4.05429E-01  -8.48720E+00  -1.91294E+01
 159.39   2.81488E+01   3.75449E-01  -6.89983E+00  -2.51606E+01
 159.89   3.41033E+01   3.35207E-01  -4.80454E+00  -3.17690E+01
 160.39   4.06408E+01   2.91184E-01  -2.24439E+00  -3.88148E+01
 160.89   4.76154E+01   2.46843E-01   7.17972E-01  -4.61364E+01
 161.40   5.48571E+01   2.03899E-01   4.00249E+00  -5.35553E+01
 161.90   6.21774E+01   1.63091E-01   7.51446E+00  -6.08829E+01
 162.40   6.93760E+01   1.24630E-01   1.11482E+01  -6.79264E+01
 162.91   7.62490E+01   8.84500E-02   1.47910E+01  -7.44960E+01
 163.41   8.25961E+01   5.43438E-02   1.83279E+01  -8.04118E+01
 163.91   8.82290E+01   2.20395E-02   2.16460E+01  -8.55104E+01
 164.41   9.29788E+01  -8.76321E-03   2.46391E+01  -8.96510E+01
 164.92   9.67024E+01  -3.83721E-02   2.72122E+01  -9.27205E+01
 165.42   9.92889E+01  -6.70953E-02   2.92850E+01  -9.46377E+01
 165.92   1.00663E+02  -9.52389E-02   3.07954E+01  -9.53564E+01
 166.42   1.00790E+02  -1.23108E-01   3.17014E+01  -9.48666E+01
 166.93   9.96732E+01  -1.51011E-01   3.19832E+01  -9.31948E+01
 167.43   9.73577E+01  -1.79262E-01   3.16429E+01  -9.04027E+01
 167.93   9.39254E+01  -2.08188E-01   3.07048E+01  -8.65842E+01
 168.44   8.94924E+01  -2.38131E-01   2.92131E+01  -8.18617E+01
 168.94   8.42037E+01  -2.69452E-01   2.72301E+01  -7.63806E+01
